Chapter,ID,People/Event
10,people_d72f26a2420994badb603a8a6a52cbff,bartholomew_405
10,people_d6e0dedd11e45e894616ce6a4b99b0a3,simon_2746
10,people_d46156824b4c9499d434dea5198b29ec,james_717
10,people_d2e557b48945df786b9bebca1c143585,matthew_1971
10,people_bdbfbef30547259326122c9c051c91ad,satan_2476
10,people_ac214bdb16ea74390dc9da8a9fe2cc35,lebbaeus_1815
10,people_9677ec1950702c663e9a9cfd90e98100,john_1677
10,people_8f367c1b11a63a2c205a984f71382a98,holy_spirit_7400
10,people_828b8622f88b3694cc31c2274110e3d9,james_718
10,people_7d2f5bd6921e95e8849674d851c612fa,judas_1760
10,people_74fc34c0591dc0c0a09fa2413e4e4e51,jesus_905
10,people_70c3165210467b0110fd7c4fe46def03,philip_2344
10,people_69d08968322add3c3a91d3f2c8d416cf,andrew_264
10,people_45c0ff7229d4da2688dd795f2da58e10,peter_2745
10,people_30469efa198a8c9581922372eef941b3,zebedee_2998
10,people_2440393fcbccc440f09aac3cdcfeb5a1,thomas_2851
10,people_12f80b516bb106941288062f032b4401,god_1324
10,people_05435dfd7c9658e93f0549ab9041d7d1,alphaeus_192
10,event_b6936d4974d4b39d191d18b1ec33d781,3rd tour of galilee
